user_id,trimmed_tweet,original_tweet
2978104100,How are there not riots breaking out after Officer #PhilipBrailsford murdered #DanielShaver Probably the WORST video of,RT @deanrcollins: How are there not riots breaking out after Officer #PhilipBrailsford murdered #DanielShaver ? Probably the WORST video of…
737721757646262272,Officer Philip Brailsford again I say you are a complete disgrace to the badge and I genuinely hope you go out th,"Officer Philip Brailsford, again I say you are a complete disgrace to the badge, and I genuinely hope you go out th… https://t.co/ZykHiJ6d7u"
823272335394226177,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
2418178226,The Brutal Execution of #DanielShaver by pig #PhilipBrailsford I've seen #Isis but this is one of the worst exec,"RT @SwaggBundlez: The Brutal Execution of #DanielShaver by pig #PhilipBrailsford @MesaPD 
I've seen #Isis but this is one of the worst exec…"
179785920,How are there not riots breaking out after Officer #PhilipBrailsford murdered #DanielShaver Probably the WORST vi,How are there not riots breaking out after Officer #PhilipBrailsford murdered #DanielShaver ? Probably the WORST vi… https://t.co/eCgqdYCbsR
2978104100,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
36275453,#PhilipBrailsford the #murderer was investigated for violently slamming college kids down He is #pathetic and I do not trust cops ANYMORE,#PhilipBrailsford the #murderer was investigated for violently slamming college kids down! He is #pathetic and I do not trust cops ANYMORE
36275453,Officer #PhilipBrailsford IS A MURDERER,RT @EstebanEscamill: Officer #PhilipBrailsford IS A MURDERER. https://t.co/bm2s7LDwaI
36275453,The Brutal Execution of #DanielShaver by pig #PhilipBrailsford I've seen #Isis but this is one of the worst exec,"RT @SwaggBundlez: The Brutal Execution of #DanielShaver by pig #PhilipBrailsford @MesaPD 
I've seen #Isis but this is one of the worst exec…"
36275453,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
36275453,Every vid I've seen once a suspect is shot the cops secure them for the suspected weapon #PhilipBrailsford rushed past #,"RT @brianparra: Every vid I've seen, once a suspect is shot, the cops secure them for the suspected weapon. #PhilipBrailsford rushed past #…"
2821418291,The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity I have seen the video unfort,RT @ItsHeckinChris: The acquittal of #PhilipBrailsford in the shooting of #DanielShaver is absolute insanity. I have seen the video (unfort…
925142648117219328,Plenty of people make a mistake only difference is if you don't have Police privilege for it you end up with l,"Plenty of people ""make a mistake."" only difference is if you don't have ""Police privilege"" for it you end up with l… https://t.co/lyrn6oCbTD"
3025811778,#PhilipBrailsford Attorney Michael Piccarreta TOP RATED CRIMINAL DEFENCE ATTORNEY No wonder #PhilipBrailsford w,"#PhilipBrailsford Attorney, Michael Piccarreta; TOP RATED CRIMINAL DEFENCE ATTORNEY. No wonder, #PhilipBrailsford w… https://t.co/uHS1oIwGkr"
439267102,Every vid I've seen once a suspect is shot the cops secure them for the suspected weapon #PhilipBrailsford rushed past #,"RT @brianparra: Every vid I've seen, once a suspect is shot, the cops secure them for the suspected weapon. #PhilipBrailsford rushed past #…"
903429120654282752,Skyped into today to share my thoughts on the acquittal of former Arizona police officer #PhilipBrailsford,Skyped into @TMZLive today to share my thoughts on the acquittal of former Arizona police officer #PhilipBrailsford… https://t.co/ogyeKwaXSn
3025811778,The investigator noted he did not see anything that would have prevented officers from simply handcuffing Shaver a,“The investigator noted he did not see anything that would have prevented officers from simply handcuffing Shaver a… https://t.co/3vBny1kLa8
288356922,All the US policemen are fucking and crazy killers like #Murderer #PhilipBrailsford #DanielShaver #Mesa,All the US policemen are fucking (and crazy) killers like #Murderer  #PhilipBrailsford ? #DanielShaver #Mesa https://t.co/B6VSEauwa2
